StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_DuplicateRespondent,Last Seen Flow Element ID,Last Seen Question IDs,CONSENT,SCR_AGE,SCR_OMNI,CC1,CC2,AIP1,AIP2,AIP3,AIP4,AIP5,REL1,REL2,REL3,REL4,INT1,INT2,INT3,INT4,INT5,ATT1,TRU1,TRU2,TRU3,TRU4,TRU5,TRU6,ENG1,ENG2,ENG3,ENG4,ENG5,ENG6,ATT2,PI1,PI2,PI3,PI4,PDPL1,PDPL2,PDPL3,PDPL4,MC_AIP,MC_DISC,AGE_BAND,GEN,LOC,LOC_5_TEXT,EDU,INC,FREQ,PLAT,PLAT_5_TEXT,PRIOR,CHAN,REF,CELL,AIP_COND,DISC_COND,VIG_TIME_First Click,VIG_TIME_Last Click,VIG_TIME_Page Submit,VIG_TIME_Click Count,CHAN_APP,CHAN_WEB,CHAN_LIVE,CHAN_STORE,CHAN_SOC,flag_cell_mismatch,AIP_mean,REL_mean,INT_mean,TRU_mean,ENG_mean,PI_mean,PDPL_mean,collection_phase,sample_role,flag_extreme_reverser
2026-09-10 00:48:31,2026-09-10 00:54:39,0,100,367,1,2026-09-10 00:54:40,R_9Zdbk61A0czebWF,anonymous,VI,,FL_56,,1,1.0,1.0,2,2,5,6,7,5,6,7,6,5,6,4,4,2,4,2,5,6,5,4,5,5,5,6,5,5,6,6,5,2,5,7,7,5,6,7,7,6,6,5,1.0,2.0,,,3.0,1.0,5.0,1.0,,4.0,"1,3",,3.0,1,0,,,,,True,False,True,False,False,False,5.8,6.0,3.2,5.0,5.5,6.0,6.5,pre_LOC,pilot,False
2026-09-10 00:49:57,2026-09-10 00:56:53,0,100,416,1,2026-09-10 00:56:54,R_44c0eb7W8FfjQmG,anonymous,VI,,FL_56,,1,1.0,1.0,1,2,2,3,3,3,4,3,4,3,3,4,4,5,6,5,5,2,2,3,2,2,2,6,5,6,6,6,6,2,3,3,3,3,4,5,6,6,2,2,1.0,1.0,,,3.0,2.0,3.0,1.0,,4.0,"1,3",,1.0,0,0,,,,,True,False,True,False,False,False,3.0,3.25,4.8,2.1666666666666665,5.833333333333333,3.0,5.25,pre_LOC,pilot,False
2026-09-10 00:53:17,2026-09-10 00:58:46,0,100,328,1,2026-09-10 00:58:46,R_9jlRTUYj3m8lY1r,anonymous,VI,True,FL_56,,1,1.0,1.0,1,2,7,7,7,5,7,7,7,7,7,2,2,3,2,2,5,7,6,6,6,6,6,6,7,6,6,7,6,2,7,6,7,7,7,6,6,6,7,2,1.0,1.0,,,3.0,2.0,3.0,1.0,,3.0,"1,3,5",,1.0,0,0,,,,,True,False,True,False,True,False,6.6,7.0,2.2,6.166666666666667,6.333333333333333,6.75,6.25,pre_LOC,pilot,True
2026-09-10 00:50:30,2026-09-10 00:59:28,0,100,538,1,2026-09-10 00:59:29,R_9zcggPqOxixxl0G,anonymous,VI,,FL_56,,1,1.0,1.0,1,1,6,5,6,6,4,4,5,5,5,5,5,4,3,4,5,5,6,6,5,4,4,7,5,5,3,5,4,2,6,5,5,7,7,6,5,6,6,7,1.0,1.0,,,3.0,1.0,2.0,3.0,,4.0,1,,2.0,0,1,,,,,True,False,False,False,False,False,5.4,4.75,4.2,5.0,4.833333333333333,5.75,6.0,pre_LOC,pilot,True
2026-09-10 00:51:54,2026-09-10 01:03:36,0,100,701,1,2026-09-10 01:03:36,R_4OHEMnTwvjrPfhU,anonymous,VI,,FL_56,,1,1.0,1.0,2,1,7,7,7,7,6,7,7,7,7,2,2,5,1,4,5,6,6,4,6,6,5,5,5,5,6,5,3,2,7,6,7,5,7,7,7,7,7,7,1.0,2.0,,,3.0,1.0,3.0,1.0,,4.0,"1,2,3",,4.0,1,1,,,,,True,True,True,False,False,False,6.8,7.0,2.8,5.5,4.833333333333333,6.25,7.0,pre_LOC,pilot,False
2026-09-10 01:04:17,2026-09-10 01:13:16,0,100,538,1,2026-09-10 01:13:17,R_461RlhkOv3OSGWt,anonymous,VI,True,FL_56,,1,1.0,1.0,1,2,7,6,7,6,6,5,7,5,7,7,7,6,6,6,5,6,6,7,7,6,5,6,7,6,6,7,6,2,6,5,7,7,7,6,6,7,6,2,1.0,1.0,,,3.0,2.0,3.0,1.0,,4.0,"1,3,5",,1.0,0,0,,,,,True,False,True,False,True,False,6.4,6.0,6.4,6.166666666666667,6.333333333333333,6.25,6.5,pre_LOC,pilot,True
2026-09-10 01:04:16,2026-09-10 01:13:38,0,100,562,1,2026-09-10 01:13:39,R_4QRSHuKgDjfuLMc,anonymous,VI,,FL_56,,1,1.0,1.0,2,2,6,6,6,5,6,5,6,6,5,2,3,4,6,5,5,6,3,3,3,3,4,6,6,6,6,6,6,2,4,3,3,3,5,6,5,5,5,2,1.0,1.0,,,3.0,1.0,3.0,3.0,,2.0,"1,2,3",,3.0,1,0,,,,,True,True,True,False,False,False,5.8,5.5,4.0,3.6666666666666665,6.0,3.25,5.25,pre_LOC,pilot,False
2026-09-10 01:04:21,2026-09-10 01:20:14,0,100,953,1,2026-09-10 01:20:15,R_9stt3PMaSgl0aQh,anonymous,VI,,FL_56,,1,1.0,1.0,1,1,7,7,7,7,7,5,6,5,6,4,3,4,4,4,5,6,6,4,6,6,6,6,5,4,6,3,4,2,5,6,6,5,7,7,7,7,2,7,1.0,2.0,,,3.0,1.0,3.0,1.0,,4.0,"1,2,3",,2.0,0,1,,,,,True,True,True,False,False,False,7.0,5.5,3.8,5.666666666666667,4.666666666666667,5.5,7.0,pre_LOC,pilot,False
2026-09-10 02:14:33,2026-09-10 02:21:46,0,100,433,1,2026-09-10 02:21:47,R_9LhUSAkCnkFoqtx,anonymous,VI,,FL_56,,1,1.0,1.0,2,2,7,7,7,6,5,5,5,6,6,4,3,3,3,3,5,7,7,5,7,6,7,4,5,5,5,5,4,2,6,6,5,5,7,7,7,7,6,2,1.0,2.0,,,3.0,1.0,3.0,1.0,,4.0,"1,2,3,4,5",,3.0,1,0,,,,,True,True,True,True,True,False,6.4,5.5,3.2,6.5,4.666666666666667,5.5,7.0,pre_LOC,pilot,False
2026-09-10 02:14:49,2026-09-10 02:22:35,0,100,465,1,2026-09-10 02:22:35,R_9GLO1JyQuKH6ODD,anonymous,VI,,FL_56,,1,1.0,1.0,1,2,3,2,4,3,2,5,3,5,3,2,2,3,2,2,5,6,4,2,5,4,3,4,6,3,5,6,6,2,6,4,3,5,7,7,7,7,5,7,1.0,1.0,,,1.0,1.0,3.0,1.0,,4.0,"1,3,5",,1.0,0,0,,,,,True,False,True,False,True,False,2.8,4.0,2.2,4.0,5.0,4.5,7.0,pre_LOC,pilot,True
2026-09-10 03:14:26,2026-09-10 03:24:17,0,100,591,1,2026-09-10 03:24:18,R_9MFjwIiuIyNEUtF,anonymous,VI,,FL_56,,1,1.0,1.0,1,1,7,6,5,7,6,6,6,6,5,5,5,5,6,4,5,5,4,4,4,4,3,4,5,4,4,4,4,2,5,5,4,4,6,6,6,7,6,6,1.0,2.0,,,3.0,1.0,4.0,3.0,,4.0,2,,2.0,0,1,,,,,False,True,False,False,False,False,6.2,5.75,5.0,4.0,4.166666666666667,4.5,6.25,pre_LOC,pilot,True
2026-09-10 03:19:43,2026-09-10 03:24:49,0,100,305,1,2026-09-10 03:24:50,R_9NCX3vpTuREFUOZ,anonymous,VI,True,FL_56,,1,1.0,1.0,2,1,5,6,6,6,4,6,6,6,6,2,2,2,2,2,5,5,6,4,5,5,5,7,6,7,7,6,6,2,6,6,6,6,6,6,6,6,6,6,1.0,2.0,,,1.0,1.0,4.0,3.0,,4.0,1,,4.0,1,1,,,,,True,False,False,False,False,False,5.4,6.0,2.0,5.0,6.5,6.0,6.0,pre_LOC,pilot,False
